# Radius per segment (in mm): 20.0, 40.0, 40.0, 20.0, 10.0
Timestep,Temp_Node_1,Temp_Node_2,Temp_Node_3,Temp_Node_4,Temp_Node_5,Temp_Node_6
0,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01
1,9.28595e+00,9.01635e+00,9.55614e+00,1.00979e+01,1.30886e+01,1.98477e+01
2,9.15380e+00,8.88471e+00,9.42349e+00,9.96422e+00,1.29493e+01,1.96957e+01
3,9.02197e+00,8.75337e+00,9.29115e+00,9.83087e+00,1.28103e+01,1.95441e+01
4,8.89046e+00,8.62236e+00,9.15914e+00,9.69785e+00,1.26718e+01,1.93929e+01
5,8.75931e+00,8.49171e+00,9.02749e+00,9.56520e+00,1.25336e+01,1.92421e+01
6,8.62855e+00,8.36145e+00,8.89624e+00,9.43295e+00,1.23958e+01,1.90919e+01
7,8.49822e+00,8.23161e+00,8.76540e+00,9.30113e+00,1.22585e+01,1.89421e+01
8,8.36833e+00,8.10221e+00,8.63503e+00,9.16976e+00,1.21216e+01,1.87929e+01
9,8.23892e+00,7.97329e+00,8.50513e+00,9.03888e+00,1.19853e+01,1.86442e+01
10,8.11002e+00,7.84488e+00,8.37574e+00,8.90852e+00,1.18495e+01,1.84962e+01
11,7.98166e+00,7.71700e+00,8.24690e+00,8.77870e+00,1.17143e+01,1.83488e+01
12,7.85387e+00,7.58969e+00,8.11863e+00,8.64946e+00,1.15797e+01,1.82021e+01
13,7.72668e+00,7.46297e+00,7.99095e+00,8.52082e+00,1.14458e+01,1.80561e+01
14,7.60011e+00,7.33687e+00,7.86391e+00,8.39282e+00,1.13125e+01,1.79108e+01
15,7.47419e+00,7.21143e+00,7.73752e+00,8.26548e+00,1.11799e+01,1.77663e+01
16,7.34896e+00,7.08666e+00,7.61182e+00,8.13884e+00,1.10480e+01,1.76227e+01
17,7.22444e+00,6.96260e+00,7.48683e+00,8.01292e+00,1.09169e+01,1.74798e+01
18,7.10066e+00,6.83928e+00,7.36259e+00,7.88774e+00,1.07866e+01,1.73379e+01
19,6.97764e+00,6.71673e+00,7.23911e+00,7.76335e+00,1.06571e+01,1.71968e+01
20,6.85542e+00,6.59496e+00,7.11644e+00,7.63976e+00,1.05285e+01,1.70567e+01
21,6.73403e+00,6.47402e+00,6.99459e+00,7.51701e+00,1.04007e+01,1.69176e+01
22,6.61348e+00,6.35392e+00,6.87360e+00,7.39511e+00,1.02738e+01,1.67794e+01
23,6.49382e+00,6.23470e+00,6.75349e+00,7.27411e+00,1.01479e+01,1.66423e+01
24,6.37506e+00,6.11637e+00,6.63429e+00,7.15402e+00,1.00229e+01,1.65062e+01
25,6.25723e+00,5.99898e+00,6.51602e+00,7.03488e+00,9.89888e+00,1.63712e+01
26,6.14035e+00,5.88254e+00,6.39872e+00,6.91671e+00,9.77591e+00,1.62374e+01
27,6.02447e+00,5.76708e+00,6.28240e+00,6.79953e+00,9.65397e+00,1.61047e+01
28,5.90959e+00,5.65262e+00,6.16710e+00,6.68338e+00,9.53311e+00,1.59731e+01
29,5.79575e+00,5.53920e+00,6.05284e+00,6.56828e+00,9.41334e+00,1.58428e+01
30,5.68297e+00,5.42683e+00,5.93964e+00,6.45425e+00,9.29469e+00,1.57137e+01
31,5.57127e+00,5.31554e+00,5.82754e+00,6.34132e+00,9.17720e+00,1.55859e+01
32,5.46069e+00,5.20537e+00,5.71655e+00,6.22951e+00,9.06088e+00,1.54594e+01
33,5.35124e+00,5.09632e+00,5.60670e+00,6.11886e+00,8.94576e+00,1.53341e+01
34,5.24295e+00,4.98843e+00,5.49802e+00,6.00937e+00,8.83187e+00,1.52103e+01
35,5.13585e+00,4.88171e+00,5.39052e+00,5.90109e+00,8.71923e+00,1.50878e+01
36,5.02995e+00,4.77620e+00,5.28423e+00,5.79403e+00,8.60787e+00,1.49667e+01
37,4.92528e+00,4.67191e+00,5.17919e+00,5.68821e+00,8.49780e+00,1.48470e+01
38,4.82187e+00,4.56887e+00,5.07539e+00,5.58366e+00,8.38906e+00,1.47288e+01
39,4.71973e+00,4.46711e+00,4.97288e+00,5.48041e+00,8.28167e+00,1.46120e+01
40,4.61889e+00,4.36663e+00,4.87167e+00,5.37846e+00,8.17565e+00,1.44968e+01
41,4.51937e+00,4.26747e+00,4.77179e+00,5.27785e+00,8.07101e+00,1.43830e+01
