# Radius per segment (in mm): 60.0, 60.0, 10.0, 60.0, 20.0
Timestep,Temp_Node_1,Temp_Node_2,Temp_Node_3,Temp_Node_4,Temp_Node_5,Temp_Node_6
0,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01
1,4.00171e+00,3.91819e+00,4.25248e+00,1.68429e+01,1.73084e+01,1.99407e+01
2,3.95363e+00,3.87017e+00,4.20423e+00,1.67859e+01,1.72510e+01,1.98814e+01
3,3.90560e+00,3.82219e+00,4.15602e+00,1.67290e+01,1.71937e+01,1.98222e+01
4,3.85763e+00,3.77428e+00,4.10787e+00,1.66721e+01,1.71365e+01,1.97631e+01
5,3.80971e+00,3.72642e+00,4.05979e+00,1.66153e+01,1.70794e+01,1.97040e+01
6,3.76187e+00,3.67864e+00,4.01177e+00,1.65586e+01,1.70224e+01,1.96451e+01
7,3.71410e+00,3.63093e+00,3.96383e+00,1.65019e+01,1.69654e+01,1.95862e+01
8,3.66642e+00,3.58330e+00,3.91598e+00,1.64454e+01,1.69086e+01,1.95275e+01
9,3.61883e+00,3.53577e+00,3.86822e+00,1.63890e+01,1.68518e+01,1.94689e+01
10,3.57133e+00,3.48833e+00,3.82055e+00,1.63327e+01,1.67952e+01,1.94104e+01
11,3.52395e+00,3.44100e+00,3.77299e+00,1.62766e+01,1.67387e+01,1.93520e+01
12,3.47667e+00,3.39378e+00,3.72554e+00,1.62206e+01,1.66824e+01,1.92938e+01
13,3.42951e+00,3.34667e+00,3.67821e+00,1.61647e+01,1.66262e+01,1.92357e+01
14,3.38248e+00,3.29970e+00,3.63101e+00,1.61090e+01,1.65702e+01,1.91778e+01
15,3.33558e+00,3.25285e+00,3.58394e+00,1.60534e+01,1.65143e+01,1.91201e+01
16,3.28881e+00,3.20615e+00,3.53701e+00,1.59980e+01,1.64586e+01,1.90625e+01
17,3.24220e+00,3.15959e+00,3.49023e+00,1.59428e+01,1.64030e+01,1.90051e+01
18,3.19574e+00,3.11318e+00,3.44360e+00,1.58878e+01,1.63477e+01,1.89480e+01
19,3.14944e+00,3.06694e+00,3.39714e+00,1.58330e+01,1.62925e+01,1.88910e+01
20,3.10330e+00,3.02086e+00,3.35084e+00,1.57783e+01,1.62376e+01,1.88342e+01
21,3.05734e+00,2.97495e+00,3.30471e+00,1.57239e+01,1.61829e+01,1.87777e+01
22,3.01156e+00,2.92922e+00,3.25876e+00,1.56697e+01,1.61284e+01,1.87213e+01
23,2.96596e+00,2.88368e+00,3.21301e+00,1.56158e+01,1.60741e+01,1.86652e+01
24,2.92056e+00,2.83833e+00,3.16744e+00,1.55620e+01,1.60200e+01,1.86094e+01
25,2.87536e+00,2.79318e+00,3.12208e+00,1.55085e+01,1.59662e+01,1.85538e+01
26,2.83036e+00,2.74824e+00,3.07692e+00,1.54552e+01,1.59126e+01,1.84985e+01
27,2.78558e+00,2.70351e+00,3.03197e+00,1.54022e+01,1.58593e+01,1.84434e+01
28,2.74101e+00,2.65900e+00,2.98725e+00,1.53495e+01,1.58063e+01,1.83886e+01
29,2.69667e+00,2.61471e+00,2.94275e+00,1.52970e+01,1.57535e+01,1.83341e+01
30,2.65256e+00,2.57065e+00,2.89848e+00,1.52449e+01,1.57010e+01,1.82799e+01
31,2.60869e+00,2.52683e+00,2.85445e+00,1.51929e+01,1.56488e+01,1.82259e+01
32,2.56505e+00,2.48325e+00,2.81067e+00,1.51413e+01,1.55969e+01,1.81723e+01
33,2.52167e+00,2.43992e+00,2.76713e+00,1.50900e+01,1.55453e+01,1.81190e+01
34,2.47855e+00,2.39684e+00,2.72385e+00,1.50390e+01,1.54940e+01,1.80660e+01
35,2.43568e+00,2.35403e+00,2.68083e+00,1.49883e+01,1.54430e+01,1.80133e+01
36,2.39308e+00,2.31148e+00,2.63808e+00,1.49379e+01,1.53923e+01,1.79610e+01
37,2.35076e+00,2.26921e+00,2.59561e+00,1.48879e+01,1.53420e+01,1.79090e+01
38,2.30871e+00,2.22721e+00,2.55341e+00,1.48381e+01,1.52920e+01,1.78573e+01
39,2.26694e+00,2.18549e+00,2.51150e+00,1.47888e+01,1.52423e+01,1.78060e+01
40,2.22547e+00,2.14406e+00,2.46987e+00,1.47397e+01,1.51930e+01,1.77551e+01
41,2.18429e+00,2.10293e+00,2.42854e+00,1.46910e+01,1.51440e+01,1.77045e+01
42,2.14340e+00,2.06210e+00,2.38752e+00,1.46427e+01,1.50954e+01,1.76543e+01
43,2.10283e+00,2.02157e+00,2.34680e+00,1.45947e+01,1.50472e+01,1.76045e+01
44,2.06256e+00,1.98135e+00,2.30639e+00,1.45472e+01,1.49993e+01,1.75550e+01
45,2.02261e+00,1.94144e+00,2.26629e+00,1.44999e+01,1.49518e+01,1.75060e+01
46,1.98297e+00,1.90186e+00,2.22652e+00,1.44531e+01,1.49047e+01,1.74573e+01
47,1.94367e+00,1.86260e+00,2.18707e+00,1.44066e+01,1.48580e+01,1.74091e+01
48,1.90469e+00,1.82366e+00,2.14795e+00,1.43606e+01,1.48117e+01,1.73612e+01
49,1.86604e+00,1.78506e+00,2.10917e+00,1.43149e+01,1.47657e+01,1.73138e+01
50,1.82774e+00,1.74680e+00,2.07073e+00,1.42697e+01,1.47202e+01,1.72668e+01
51,1.78977e+00,1.70888e+00,2.03264e+00,1.42248e+01,1.46751e+01,1.72202e+01
52,1.75216e+00,1.67131e+00,1.99489e+00,1.41804e+01,1.46304e+01,1.71741e+01
53,1.71489e+00,1.63409e+00,1.95749e+00,1.41363e+01,1.45861e+01,1.71283e+01
54,1.67799e+00,1.59723e+00,1.92045e+00,1.40928e+01,1.45423e+01,1.70831e+01
55,1.64144e+00,1.56072e+00,1.88378e+00,1.40496e+01,1.44989e+01,1.70382e+01
56,1.60525e+00,1.52458e+00,1.84746e+00,1.40068e+01,1.44559e+01,1.69938e+01
57,1.56944e+00,1.48881e+00,1.81152e+00,1.39645e+01,1.44134e+01,1.69499e+01
58,1.53399e+00,1.45340e+00,1.77595e+00,1.39227e+01,1.43713e+01,1.69064e+01
59,1.49892e+00,1.41837e+00,1.74076e+00,1.38813e+01,1.43296e+01,1.68634e+01
60,1.46423e+00,1.38372e+00,1.70594e+00,1.38403e+01,1.42884e+01,1.68209e+01
61,1.42992e+00,1.34945e+00,1.67151e+00,1.37998e+01,1.42477e+01,1.67788e+01
62,1.39600e+00,1.31557e+00,1.63747e+00,1.37597e+01,1.42074e+01,1.67372e+01
63,1.36246e+00,1.28207e+00,1.60381e+00,1.37202e+01,1.41676e+01,1.66961e+01
64,1.32931e+00,1.24896e+00,1.57055e+00,1.36810e+01,1.41282e+01,1.66555e+01
65,1.29656e+00,1.21625e+00,1.53769e+00,1.36424e+01,1.40893e+01,1.66153e+01
66,1.26421e+00,1.18394e+00,1.50522e+00,1.36042e+01,1.40509e+01,1.65757e+01
67,1.23226e+00,1.15202e+00,1.47316e+00,1.35665e+01,1.40130e+01,1.65365e+01
68,1.20071e+00,1.12051e+00,1.44149e+00,1.35292e+01,1.39755e+01,1.64978e+01
69,1.16956e+00,1.08940e+00,1.41024e+00,1.34925e+01,1.39386e+01,1.64597e+01
70,1.13882e+00,1.05870e+00,1.37939e+00,1.34562e+01,1.39021e+01,1.64220e+01
71,1.10849e+00,1.02840e+00,1.34896e+00,1.34204e+01,1.38661e+01,1.63848e+01
72,1.07858e+00,9.98519e-01,1.31894e+00,1.33851e+01,1.38306e+01,1.63482e+01
73,1.04907e+00,9.69050e-01,1.28933e+00,1.33503e+01,1.37956e+01,1.63120e+01
74,1.01999e+00,9.39996e-01,1.26014e+00,1.33160e+01,1.37611e+01,1.62764e+01
75,9.91314e-01,9.11359e-01,1.23137e+00,1.32821e+01,1.37271e+01,1.62413e+01
76,9.63063e-01,8.83140e-01,1.20302e+00,1.32488e+01,1.36935e+01,1.62067e+01
77,9.35231e-01,8.55341e-01,1.17509e+00,1.32160e+01,1.36605e+01,1.61726e+01
78,9.07822e-01,8.27964e-01,1.14758e+00,1.31836e+01,1.36280e+01,1.61390e+01
79,8.80835e-01,8.01009e-01,1.12050e+00,1.31518e+01,1.35960e+01,1.61059e+01
80,8.54273e-01,7.74477e-01,1.09385e+00,1.31205e+01,1.35645e+01,1.60734e+01
81,8.28136e-01,7.48371e-01,1.06762e+00,1.30896e+01,1.35335e+01,1.60414e+01
