# Radius per segment (in mm): 50.0, 30.0, 20.0, 60.0, 30.0
Timestep,Temp_Node_1,Temp_Node_2,Temp_Node_3,Temp_Node_4,Temp_Node_5,Temp_Node_6
0,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01
1,1.49508e+01,1.48338e+01,1.57969e+01,1.84433e+01,1.88735e+01,1.99752e+01
2,1.49276e+01,1.48107e+01,1.57735e+01,1.84190e+01,1.88491e+01,1.99504e+01
3,1.49045e+01,1.47876e+01,1.57500e+01,1.83947e+01,1.88247e+01,1.99256e+01
4,1.48813e+01,1.47644e+01,1.57266e+01,1.83705e+01,1.88003e+01,1.99008e+01
5,1.48582e+01,1.47414e+01,1.57032e+01,1.83462e+01,1.87759e+01,1.98760e+01
6,1.48351e+01,1.47183e+01,1.56799e+01,1.83220e+01,1.87515e+01,1.98513e+01
7,1.48120e+01,1.46953e+01,1.56565e+01,1.82978e+01,1.87272e+01,1.98266e+01
8,1.47890e+01,1.46723e+01,1.56332e+01,1.82737e+01,1.87029e+01,1.98020e+01
9,1.47660e+01,1.46493e+01,1.56100e+01,1.82496e+01,1.86787e+01,1.97774e+01
10,1.47431e+01,1.46264e+01,1.55867e+01,1.82255e+01,1.86544e+01,1.97528e+01
11,1.47202e+01,1.46035e+01,1.55636e+01,1.82015e+01,1.86303e+01,1.97283e+01
12,1.46973e+01,1.45807e+01,1.55404e+01,1.81775e+01,1.86062e+01,1.97039e+01
13,1.46745e+01,1.45580e+01,1.55174e+01,1.81536e+01,1.85821e+01,1.96795e+01
14,1.46518e+01,1.45352e+01,1.54944e+01,1.81297e+01,1.85582e+01,1.96551e+01
15,1.46291e+01,1.45126e+01,1.54714e+01,1.81060e+01,1.85342e+01,1.96309e+01
16,1.46064e+01,1.44900e+01,1.54485e+01,1.80822e+01,1.85104e+01,1.96066e+01
17,1.45839e+01,1.44675e+01,1.54257e+01,1.80586e+01,1.84866e+01,1.95825e+01
18,1.45614e+01,1.44450e+01,1.54029e+01,1.80350e+01,1.84629e+01,1.95585e+01
19,1.45390e+01,1.44227e+01,1.53803e+01,1.80115e+01,1.84393e+01,1.95345e+01
20,1.45166e+01,1.44004e+01,1.53577e+01,1.79881e+01,1.84157e+01,1.95106e+01
21,1.44944e+01,1.43781e+01,1.53351e+01,1.79648e+01,1.83922e+01,1.94868e+01
22,1.44722e+01,1.43560e+01,1.53127e+01,1.79415e+01,1.83689e+01,1.94630e+01
23,1.44501e+01,1.43340e+01,1.52904e+01,1.79184e+01,1.83456e+01,1.94394e+01
24,1.44281e+01,1.43120e+01,1.52681e+01,1.78953e+01,1.83224e+01,1.94159e+01
25,1.44062e+01,1.42901e+01,1.52460e+01,1.78724e+01,1.82993e+01,1.93925e+01
26,1.43844e+01,1.42684e+01,1.52239e+01,1.78495e+01,1.82763e+01,1.93691e+01
27,1.43627e+01,1.42467e+01,1.52020e+01,1.78268e+01,1.82534e+01,1.93459e+01
28,1.43411e+01,1.42251e+01,1.51801e+01,1.78041e+01,1.82307e+01,1.93228e+01
29,1.43197e+01,1.42037e+01,1.51584e+01,1.77816e+01,1.82080e+01,1.92998e+01
30,1.42983e+01,1.41823e+01,1.51368e+01,1.77592e+01,1.81855e+01,1.92770e+01
31,1.42770e+01,1.41611e+01,1.51152e+01,1.77369e+01,1.81631e+01,1.92542e+01
32,1.42559e+01,1.41400e+01,1.50938e+01,1.77147e+01,1.81408e+01,1.92316e+01
33,1.42348e+01,1.41190e+01,1.50726e+01,1.76927e+01,1.81186e+01,1.92091e+01
34,1.42139e+01,1.40981e+01,1.50514e+01,1.76708e+01,1.80966e+01,1.91867e+01
35,1.41932e+01,1.40774e+01,1.50304e+01,1.76490e+01,1.80746e+01,1.91645e+01
36,1.41725e+01,1.40568e+01,1.50095e+01,1.76274e+01,1.80529e+01,1.91424e+01
37,1.41520e+01,1.40363e+01,1.49888e+01,1.76058e+01,1.80312e+01,1.91205e+01
38,1.41316e+01,1.40159e+01,1.49681e+01,1.75845e+01,1.80098e+01,1.90987e+01
39,1.41114e+01,1.39957e+01,1.49476e+01,1.75633e+01,1.79884e+01,1.90770e+01
