# Radius per segment (in mm): 30.0, 60.0, 50.0, 10.0, 10.0
Timestep,Temp_Node_1,Temp_Node_2,Temp_Node_3,Temp_Node_4,Temp_Node_5,Temp_Node_6
0,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01
1,-1.48734e+00,-1.64137e+00,-1.33308e+00,-9.06657e-01,1.25943e+01,1.98368e+01
2,-1.61116e+00,-1.76492e+00,-1.45719e+00,-1.03154e+00,1.24447e+01,1.96739e+01
3,-1.73473e+00,-1.88821e+00,-1.58104e+00,-1.15617e+00,1.22955e+01,1.95115e+01
4,-1.85803e+00,-2.01123e+00,-1.70461e+00,-1.28051e+00,1.21466e+01,1.93494e+01
5,-1.98101e+00,-2.13393e+00,-1.82788e+00,-1.40454e+00,1.19981e+01,1.91878e+01
6,-2.10367e+00,-2.25631e+00,-1.95081e+00,-1.52824e+00,1.18501e+01,1.90267e+01
7,-2.22596e+00,-2.37833e+00,-2.07338e+00,-1.65157e+00,1.17026e+01,1.88661e+01
8,-2.34787e+00,-2.49997e+00,-2.19556e+00,-1.77452e+00,1.15555e+01,1.87061e+01
9,-2.46937e+00,-2.62120e+00,-2.31734e+00,-1.89705e+00,1.14090e+01,1.85466e+01
10,-2.59044e+00,-2.74199e+00,-2.43867e+00,-2.01913e+00,1.12630e+01,1.83878e+01
11,-2.71104e+00,-2.86232e+00,-2.55954e+00,-2.14075e+00,1.11176e+01,1.82297e+01
12,-2.83115e+00,-2.98217e+00,-2.67992e+00,-2.26188e+00,1.09729e+01,1.80722e+01
13,-2.95075e+00,-3.10150e+00,-2.79979e+00,-2.38248e+00,1.08288e+01,1.79155e+01
14,-3.06980e+00,-3.22029e+00,-2.91911e+00,-2.50254e+00,1.06854e+01,1.77595e+01
15,-3.18830e+00,-3.33852e+00,-3.03787e+00,-2.62203e+00,1.05427e+01,1.76043e+01
16,-3.30620e+00,-3.45616e+00,-3.15603e+00,-2.74092e+00,1.04007e+01,1.74499e+01
17,-3.42348e+00,-3.57318e+00,-3.27358e+00,-2.85919e+00,1.02595e+01,1.72964e+01
18,-3.54013e+00,-3.68957e+00,-3.39048e+00,-2.97681e+00,1.01191e+01,1.71438e+01
19,-3.65611e+00,-3.80529e+00,-3.50672e+00,-3.09375e+00,9.97956e+00,1.69921e+01
20,-3.77140e+00,-3.92032e+00,-3.62226e+00,-3.21000e+00,9.84087e+00,1.68413e+01
21,-3.88597e+00,-4.03464e+00,-3.73709e+00,-3.32553e+00,9.70307e+00,1.66915e+01
22,-3.99980e+00,-4.14823e+00,-3.85117e+00,-3.44031e+00,9.56619e+00,1.65428e+01
23,-4.11287e+00,-4.26105e+00,-3.96449e+00,-3.55432e+00,9.43025e+00,1.63950e+01
24,-4.22515e+00,-4.37308e+00,-4.07702e+00,-3.66753e+00,9.29529e+00,1.62484e+01
25,-4.33662e+00,-4.48431e+00,-4.18873e+00,-3.77993e+00,9.16134e+00,1.61028e+01
26,-4.44726e+00,-4.59470e+00,-4.29961e+00,-3.89148e+00,9.02841e+00,1.59584e+01
27,-4.55703e+00,-4.70423e+00,-4.40963e+00,-4.00216e+00,8.89655e+00,1.58152e+01
28,-4.66593e+00,-4.81289e+00,-4.51876e+00,-4.11196e+00,8.76577e+00,1.56731e+01
29,-4.77392e+00,-4.92064e+00,-4.62699e+00,-4.22084e+00,8.63611e+00,1.55323e+01
30,-4.88098e+00,-5.02747e+00,-4.73428e+00,-4.32878e+00,8.50758e+00,1.53927e+01
31,-4.98709e+00,-5.13335e+00,-4.84063e+00,-4.43577e+00,8.38022e+00,1.52544e+01
32,-5.09223e+00,-5.23827e+00,-4.94600e+00,-4.54177e+00,8.25405e+00,1.51173e+01
33,-5.19638e+00,-5.34219e+00,-5.05037e+00,-4.64677e+00,8.12910e+00,1.49817e+01
34,-5.29951e+00,-5.44509e+00,-5.15373e+00,-4.75075e+00,8.00539e+00,1.48473e+01
35,-5.40161e+00,-5.54697e+00,-5.25605e+00,-4.85368e+00,7.88295e+00,1.47144e+01
36,-5.50264e+00,-5.64779e+00,-5.35730e+00,-4.95555e+00,7.76180e+00,1.45829e+01
37,-5.60260e+00,-5.74753e+00,-5.45748e+00,-5.05632e+00,7.64197e+00,1.44528e+01
38,-5.70146e+00,-5.84617e+00,-5.55655e+00,-5.15599e+00,7.52347e+00,1.43242e+01
39,-5.79920e+00,-5.94370e+00,-5.65450e+00,-5.25453e+00,7.40634e+00,1.41971e+01
40,-5.89580e+00,-6.04010e+00,-5.75131e+00,-5.35191e+00,7.29059e+00,1.40714e+01
41,-5.99124e+00,-6.13533e+00,-5.84696e+00,-5.44813e+00,7.17626e+00,1.39474e+01
42,-6.08551e+00,-6.22939e+00,-5.94143e+00,-5.54317e+00,7.06335e+00,1.38248e+01
43,-6.17858e+00,-6.32226e+00,-6.03470e+00,-5.63699e+00,6.95190e+00,1.37039e+01
44,-6.27043e+00,-6.41392e+00,-6.12675e+00,-5.72959e+00,6.84192e+00,1.35846e+01
45,-6.36105e+00,-6.50435e+00,-6.21757e+00,-5.82094e+00,6.73343e+00,1.34669e+01
46,-6.45042e+00,-6.59352e+00,-6.30713e+00,-5.91104e+00,6.62646e+00,1.33509e+01
47,-6.53852e+00,-6.68144e+00,-6.39542e+00,-5.99985e+00,6.52103e+00,1.32365e+01
48,-6.62534e+00,-6.76807e+00,-6.48242e+00,-6.08737e+00,6.41715e+00,1.31238e+01
49,-6.71086e+00,-6.85340e+00,-6.56812e+00,-6.17357e+00,6.31484e+00,1.30128e+01
50,-6.79505e+00,-6.93742e+00,-6.65250e+00,-6.25845e+00,6.21413e+00,1.29036e+01
51,-6.87791e+00,-7.02010e+00,-6.73553e+00,-6.34198e+00,6.11503e+00,1.27961e+01
52,-6.95942e+00,-7.10144e+00,-6.81722e+00,-6.42414e+00,6.01756e+00,1.26904e+01
53,-7.03957e+00,-7.18141e+00,-6.89754e+00,-6.50494e+00,5.92174e+00,1.25865e+01
54,-7.11834e+00,-7.26001e+00,-6.97647e+00,-6.58434e+00,5.82758e+00,1.24844e+01
55,-7.19571e+00,-7.33722e+00,-7.05401e+00,-6.66233e+00,5.73510e+00,1.23842e+01
56,-7.27167e+00,-7.41302e+00,-7.13013e+00,-6.73890e+00,5.64431e+00,1.22858e+01
57,-7.34621e+00,-7.48741e+00,-7.20484e+00,-6.81404e+00,5.55524e+00,1.21892e+01
58,-7.41932e+00,-7.56036e+00,-7.27810e+00,-6.88774e+00,5.46789e+00,1.20945e+01
59,-7.49099e+00,-7.63187e+00,-7.34991e+00,-6.95997e+00,5.38229e+00,1.20017e+01
60,-7.56119e+00,-7.70192e+00,-7.42027e+00,-7.03074e+00,5.29843e+00,1.19108e+01
61,-7.62992e+00,-7.77051e+00,-7.48914e+00,-7.10002e+00,5.21635e+00,1.18218e+01
62,-7.69717e+00,-7.83762e+00,-7.55653e+00,-7.16780e+00,5.13604e+00,1.17348e+01
63,-7.76292e+00,-7.90323e+00,-7.62243e+00,-7.23408e+00,5.05753e+00,1.16497e+01
64,-7.82718e+00,-7.96735e+00,-7.68682e+00,-7.29884e+00,4.98083e+00,1.15666e+01
65,-7.88991e+00,-8.02995e+00,-7.74969e+00,-7.36208e+00,4.90594e+00,1.14854e+01
66,-7.95113e+00,-8.09104e+00,-7.81103e+00,-7.42378e+00,4.83287e+00,1.14063e+01
67,-8.01081e+00,-8.15060e+00,-7.87084e+00,-7.48394e+00,4.76165e+00,1.13291e+01
68,-8.06895e+00,-8.20862e+00,-7.92910e+00,-7.54254e+00,4.69227e+00,1.12539e+01
69,-8.12554e+00,-8.26509e+00,-7.98581e+00,-7.59958e+00,4.62474e+00,1.11808e+01
70,-8.18058e+00,-8.32001e+00,-8.04096e+00,-7.65506e+00,4.55909e+00,1.11096e+01
71,-8.23405e+00,-8.37336e+00,-8.09455e+00,-7.70895e+00,4.49530e+00,1.10405e+01
72,-8.28595e+00,-8.42516e+00,-8.14656e+00,-7.76126e+00,4.43339e+00,1.09735e+01
73,-8.33627e+00,-8.47537e+00,-8.19698e+00,-7.81198e+00,4.37337e+00,1.09084e+01
74,-8.38501e+00,-8.52401e+00,-8.24583e+00,-7.86111e+00,4.31525e+00,1.08455e+01
