# Radius per segment (in mm): 60.0, 20.0, 10.0, 50.0, 40.0
Timestep,Temp_Node_1,Temp_Node_2,Temp_Node_3,Temp_Node_4,Temp_Node_5,Temp_Node_6
0,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01
1,8.00833e+00,7.91987e+00,9.86927e+00,1.89674e+01,1.94786e+01,1.99918e+01
2,8.00723e+00,7.91878e+00,9.86814e+00,1.89661e+01,1.94773e+01,1.99905e+01
3,8.00959e+00,7.92114e+00,9.87058e+00,1.89689e+01,1.94802e+01,1.99933e+01
4,8.00998e+00,7.92152e+00,9.87097e+00,1.89693e+01,1.94806e+01,1.99937e+01
5,8.00464e+00,7.91619e+00,9.86547e+00,1.89630e+01,1.94742e+01,1.99873e+01
6,7.99510e+00,7.90666e+00,9.85566e+00,1.89519e+01,1.94630e+01,1.99761e+01
7,7.98673e+00,7.89831e+00,9.84708e+00,1.89422e+01,1.94533e+01,1.99663e+01
8,7.98384e+00,7.89542e+00,9.84413e+00,1.89390e+01,1.94501e+01,1.99630e+01
9,7.98570e+00,7.89727e+00,9.84605e+00,1.89412e+01,1.94523e+01,1.99653e+01
10,7.98720e+00,7.89878e+00,9.84760e+00,1.89430e+01,1.94541e+01,1.99670e+01
11,7.98359e+00,7.89516e+00,9.84386e+00,1.89387e+01,1.94498e+01,1.99627e+01
12,7.97478e+00,7.88637e+00,9.83481e+00,1.89284e+01,1.94394e+01,1.99523e+01
13,7.96550e+00,7.87710e+00,9.82528e+00,1.89176e+01,1.94286e+01,1.99414e+01
14,7.96089e+00,7.87249e+00,9.82056e+00,1.89124e+01,1.94233e+01,1.99361e+01
15,7.96179e+00,7.87340e+00,9.82151e+00,1.89136e+01,1.94245e+01,1.99373e+01
16,7.96401e+00,7.87561e+00,9.82379e+00,1.89161e+01,1.94271e+01,1.99399e+01
17,7.96210e+00,7.87370e+00,9.82181e+00,1.89139e+01,1.94248e+01,1.99376e+01
18,7.95444e+00,7.86606e+00,9.81394e+00,1.89049e+01,1.94158e+01,1.99285e+01
19,7.94469e+00,7.85632e+00,9.80392e+00,1.88936e+01,1.94044e+01,1.99170e+01
20,7.93842e+00,7.85006e+00,9.79750e+00,1.88864e+01,1.93971e+01,1.99097e+01
21,7.93802e+00,7.84966e+00,9.79710e+00,1.88860e+01,1.93968e+01,1.99094e+01
22,7.94047e+00,7.85210e+00,9.79963e+00,1.88889e+01,1.93997e+01,1.99123e+01
23,7.94013e+00,7.85177e+00,9.79927e+00,1.88885e+01,1.93992e+01,1.99119e+01
24,7.93394e+00,7.84558e+00,9.79290e+00,1.88812e+01,1.93919e+01,1.99045e+01
25,7.92420e+00,7.83586e+00,9.78289e+00,1.88699e+01,1.93805e+01,1.98930e+01
26,7.91649e+00,7.82815e+00,9.77498e+00,1.88610e+01,1.93716e+01,1.98840e+01
27,7.91451e+00,7.82618e+00,9.77297e+00,1.88588e+01,1.93694e+01,1.98818e+01
28,7.91671e+00,7.82837e+00,9.77524e+00,1.88614e+01,1.93720e+01,1.98845e+01
29,7.91768e+00,7.82934e+00,9.77623e+00,1.88625e+01,1.93731e+01,1.98856e+01
30,7.91315e+00,7.82482e+00,9.77156e+00,1.88572e+01,1.93678e+01,1.98801e+01
31,7.90391e+00,7.81559e+00,9.76206e+00,1.88464e+01,1.93569e+01,1.98692e+01
32,7.89507e+00,7.80676e+00,9.75299e+00,1.88362e+01,1.93466e+01,1.98589e+01
33,7.89139e+00,7.80308e+00,9.74922e+00,1.88320e+01,1.93424e+01,1.98547e+01
34,7.89286e+00,7.80455e+00,9.75076e+00,1.88339e+01,1.93443e+01,1.98565e+01
35,7.89477e+00,7.80646e+00,9.75271e+00,1.88361e+01,1.93465e+01,1.98587e+01
36,7.89197e+00,7.80366e+00,9.74983e+00,1.88327e+01,1.93431e+01,1.98554e+01
