# Radius per segment (in mm): 50.0, 40.0, 40.0, 20.0, 10.0
Timestep,Temp_Node_1,Temp_Node_2,Temp_Node_3,Temp_Node_4,Temp_Node_5,Temp_Node_6
0,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01
1,6.83918e+00,6.73481e+00,7.29630e+00,8.01639e+00,1.16972e+01,1.98691e+01
2,6.82229e+00,6.71794e+00,7.27929e+00,7.99921e+00,1.16792e+01,1.98490e+01
3,6.86131e+00,6.75690e+00,7.31857e+00,8.03889e+00,1.17209e+01,1.98954e+01
4,6.86749e+00,6.76307e+00,7.32479e+00,8.04518e+00,1.17275e+01,1.99027e+01
5,6.78239e+00,6.67810e+00,7.23913e+00,7.95864e+00,1.16365e+01,1.98017e+01
6,6.63156e+00,6.52749e+00,7.08732e+00,7.80528e+00,1.14752e+01,1.96226e+01
7,6.50113e+00,6.39726e+00,6.95604e+00,7.67266e+00,1.13357e+01,1.94679e+01
8,6.45861e+00,6.35480e+00,6.91324e+00,7.62942e+00,1.12902e+01,1.94174e+01
9,6.49078e+00,6.38692e+00,6.94562e+00,7.66213e+00,1.13246e+01,1.94556e+01
10,6.51585e+00,6.41196e+00,6.97086e+00,7.68763e+00,1.13514e+01,1.94853e+01
11,6.45869e+00,6.35488e+00,6.91332e+00,7.62950e+00,1.12903e+01,1.94175e+01
12,6.31983e+00,6.21623e+00,6.77357e+00,7.48832e+00,1.11418e+01,1.92528e+01
13,6.17506e+00,6.07167e+00,6.62785e+00,7.34112e+00,1.09870e+01,1.90811e+01
14,6.10572e+00,6.00243e+00,6.55806e+00,7.27062e+00,1.09129e+01,1.89989e+01
15,6.12392e+00,6.02060e+00,6.57638e+00,7.28913e+00,1.09323e+01,1.90205e+01
16,6.16139e+00,6.05802e+00,6.61409e+00,7.32723e+00,1.09724e+01,1.90649e+01
17,6.13223e+00,6.02890e+00,6.58475e+00,7.29758e+00,1.09412e+01,1.90303e+01
18,6.01192e+00,5.90877e+00,6.46366e+00,7.17526e+00,1.08126e+01,1.88877e+01
19,5.85982e+00,5.75689e+00,6.31057e+00,7.02063e+00,1.06500e+01,1.87074e+01
20,5.76466e+00,5.66188e+00,6.21480e+00,6.92389e+00,1.05483e+01,1.85946e+01
21,5.76296e+00,5.66017e+00,6.21308e+00,6.92215e+00,1.05465e+01,1.85926e+01
22,5.80537e+00,5.70253e+00,6.25577e+00,6.96527e+00,1.05918e+01,1.86429e+01
23,5.80212e+00,5.69928e+00,6.25250e+00,6.96197e+00,1.05883e+01,1.86390e+01
24,5.70551e+00,5.60281e+00,6.15527e+00,6.86375e+00,1.04851e+01,1.85245e+01
25,5.55376e+00,5.45129e+00,6.00254e+00,6.70948e+00,1.03229e+01,1.83447e+01
26,5.43592e+00,5.33361e+00,5.88394e+00,6.58968e+00,1.01969e+01,1.82052e+01
27,5.40998e+00,5.30772e+00,5.85784e+00,6.56332e+00,1.01692e+01,1.81745e+01
28,5.44955e+00,5.34723e+00,5.89766e+00,6.60354e+00,1.02115e+01,1.82213e+01
29,5.46809e+00,5.36574e+00,5.91632e+00,6.62239e+00,1.02313e+01,1.82433e+01
30,5.39852e+00,5.29627e+00,5.84630e+00,6.55166e+00,1.01570e+01,1.81609e+01
31,5.25483e+00,5.15279e+00,5.70168e+00,6.40559e+00,1.00034e+01,1.79907e+01
32,5.11929e+00,5.01745e+00,5.56527e+00,6.26781e+00,9.85862e+00,1.78303e+01
33,5.06680e+00,4.96504e+00,5.51245e+00,6.21445e+00,9.80255e+00,1.77681e+01
34,5.09600e+00,4.99420e+00,5.54184e+00,6.24414e+00,9.83375e+00,1.78027e+01
35,5.13053e+00,5.02868e+00,5.57659e+00,6.27924e+00,9.87064e+00,1.78436e+01
36,5.08922e+00,4.98742e+00,5.53501e+00,6.23724e+00,9.82650e+00,1.77947e+01
37,4.96072e+00,4.85912e+00,5.40569e+00,6.10663e+00,9.68923e+00,1.76426e+01
38,4.81395e+00,4.71255e+00,5.25798e+00,5.95743e+00,9.53244e+00,1.74689e+01
39,4.73475e+00,4.63347e+00,5.17827e+00,5.87693e+00,9.44784e+00,1.73752e+01
40,4.74694e+00,4.64565e+00,5.19055e+00,5.88933e+00,9.46087e+00,1.73897e+01
41,4.79043e+00,4.68907e+00,5.23431e+00,5.93353e+00,9.50732e+00,1.74411e+01
42,4.77642e+00,4.67508e+00,5.22021e+00,5.91929e+00,9.49236e+00,1.74245e+01
43,4.66909e+00,4.56791e+00,5.11220e+00,5.81020e+00,9.37772e+00,1.72976e+01
44,4.51851e+00,4.41754e+00,4.96066e+00,5.65713e+00,9.21690e+00,1.71195e+01
45,4.41461e+00,4.31380e+00,4.85610e+00,5.55153e+00,9.10595e+00,1.69967e+01
46,4.40456e+00,4.30376e+00,4.84599e+00,5.54132e+00,9.09522e+00,1.69848e+01
47,4.44931e+00,4.34845e+00,4.89102e+00,5.58680e+00,9.14300e+00,1.70377e+01
48,4.45951e+00,4.35864e+00,4.90129e+00,5.59718e+00,9.15390e+00,1.70497e+01
49,4.37772e+00,4.27696e+00,4.81897e+00,5.51404e+00,9.06655e+00,1.69530e+01
50,4.23110e+00,4.13055e+00,4.67142e+00,5.36502e+00,8.91000e+00,1.67797e+01
51,4.10656e+00,4.00620e+00,4.54610e+00,5.23845e+00,8.77704e+00,1.66325e+01
52,4.07084e+00,3.97053e+00,4.51015e+00,5.20214e+00,8.73890e+00,1.65903e+01
53,4.10909e+00,4.00873e+00,4.54864e+00,5.24102e+00,8.77974e+00,1.66355e+01
54,4.13855e+00,4.03814e+00,4.57829e+00,5.27096e+00,8.81119e+00,1.66704e+01
55,4.08465e+00,3.98432e+00,4.52405e+00,5.21618e+00,8.75364e+00,1.66067e+01
56,3.94954e+00,3.84940e+00,4.38807e+00,5.07885e+00,8.60940e+00,1.64470e+01
57,3.81012e+00,3.71018e+00,4.24777e+00,4.93716e+00,8.46057e+00,1.62823e+01
58,3.74740e+00,3.64755e+00,4.18466e+00,4.87342e+00,8.39363e+00,1.62083e+01
59,3.77196e+00,3.67208e+00,4.20938e+00,4.89838e+00,8.41985e+00,1.62373e+01
60,3.81422e+00,3.71428e+00,4.25190e+00,4.94133e+00,8.46495e+00,1.62872e+01
61,3.78842e+00,3.68852e+00,4.22594e+00,4.91511e+00,8.43742e+00,1.62567e+01
62,3.67147e+00,3.57174e+00,4.10826e+00,4.79626e+00,8.31259e+00,1.61186e+01
63,3.52417e+00,3.42464e+00,3.96002e+00,4.64656e+00,8.15538e+00,1.59447e+01
64,3.43533e+00,3.33593e+00,3.87062e+00,4.55628e+00,8.06057e+00,1.58398e+01
65,3.44014e+00,3.34074e+00,3.87547e+00,4.56117e+00,8.06571e+00,1.58455e+01
66,3.48777e+00,3.38830e+00,3.92339e+00,4.60957e+00,8.11654e+00,1.59017e+01
67,3.48809e+00,3.38861e+00,3.92371e+00,4.60989e+00,8.11688e+00,1.59021e+01
68,3.39460e+00,3.29526e+00,3.82963e+00,4.51489e+00,8.01711e+00,1.57917e+01
69,3.24708e+00,3.14796e+00,3.68119e+00,4.36498e+00,7.85971e+00,1.56177e+01
70,3.13514e+00,3.03617e+00,3.56854e+00,4.25123e+00,7.74026e+00,1.54856e+01
71,3.11577e+00,3.01683e+00,3.54905e+00,4.23154e+00,7.71960e+00,1.54627e+01
72,3.16095e+00,3.06194e+00,3.59451e+00,4.27745e+00,7.76780e+00,1.55160e+01
73,3.18338e+00,3.08434e+00,3.61709e+00,4.30025e+00,7.79173e+00,1.55425e+01
74,3.11680e+00,3.01786e+00,3.55009e+00,4.23259e+00,7.72070e+00,1.54639e+01
75,2.97683e+00,2.87809e+00,3.40925e+00,4.09036e+00,7.57138e+00,1.52988e+01
76,2.84669e+00,2.74813e+00,3.27829e+00,3.95812e+00,7.43255e+00,1.51454e+01
77,2.80067e+00,2.70218e+00,3.23198e+00,3.91136e+00,7.38346e+00,1.50911e+01
78,2.83581e+00,2.73727e+00,3.26735e+00,3.94707e+00,7.42095e+00,1.51325e+01
79,2.87463e+00,2.77603e+00,3.30640e+00,3.98651e+00,7.46235e+00,1.51783e+01
80,2.83633e+00,2.73779e+00,3.26787e+00,3.94759e+00,7.42150e+00,1.51332e+01
81,2.71113e+00,2.61277e+00,3.14188e+00,3.82038e+00,7.28795e+00,1.49855e+01
82,2.56920e+00,2.47104e+00,2.99907e+00,3.67617e+00,7.13658e+00,1.48182e+01
83,2.49624e+00,2.39818e+00,2.92565e+00,3.60203e+00,7.05876e+00,1.47322e+01
84,2.51461e+00,2.41653e+00,2.94414e+00,3.62070e+00,7.07836e+00,1.47539e+01
85,2.56281e+00,2.46465e+00,2.99263e+00,3.66967e+00,7.12976e+00,1.48107e+01
86,2.55197e+00,2.45383e+00,2.98173e+00,3.65866e+00,7.11820e+00,1.47979e+01
87,2.44762e+00,2.34963e+00,2.87673e+00,3.55263e+00,7.00692e+00,1.46750e+01
88,2.30132e+00,2.20354e+00,2.72952e+00,3.40398e+00,6.85090e+00,1.45026e+01
89,2.20331e+00,2.10567e+00,2.63090e+00,3.30440e+00,6.74640e+00,1.43871e+01
90,2.19955e+00,2.10192e+00,2.62712e+00,3.30059e+00,6.74240e+00,1.43827e+01
