# Radius per segment (in mm): 60.0, 60.0, 40.0, 30.0, 40.0
Timestep,Temp_Node_1,Temp_Node_2,Temp_Node_3,Temp_Node_4,Temp_Node_5,Temp_Node_6
0,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01
1,1.56128e+01,1.55144e+01,1.59083e+01,1.69445e+01,1.92558e+01,1.99869e+01
2,1.56070e+01,1.55086e+01,1.59025e+01,1.69386e+01,1.92496e+01,1.99806e+01
3,1.56050e+01,1.55066e+01,1.59005e+01,1.69366e+01,1.92476e+01,1.99786e+01
4,1.56008e+01,1.55024e+01,1.58962e+01,1.69323e+01,1.92431e+01,1.99741e+01
5,1.55902e+01,1.54918e+01,1.58856e+01,1.69214e+01,1.92319e+01,1.99628e+01
6,1.55749e+01,1.54766e+01,1.58703e+01,1.69059e+01,1.92159e+01,1.99466e+01
7,1.55611e+01,1.54628e+01,1.58564e+01,1.68918e+01,1.92014e+01,1.99319e+01
8,1.55534e+01,1.54551e+01,1.58486e+01,1.68840e+01,1.91933e+01,1.99238e+01
9,1.55509e+01,1.54526e+01,1.58461e+01,1.68814e+01,1.91907e+01,1.99211e+01
10,1.55479e+01,1.54496e+01,1.58432e+01,1.68784e+01,1.91876e+01,1.99180e+01
11,1.55392e+01,1.54409e+01,1.58344e+01,1.68695e+01,1.91784e+01,1.99087e+01
12,1.55248e+01,1.54265e+01,1.58199e+01,1.68548e+01,1.91632e+01,1.98934e+01
13,1.55099e+01,1.54116e+01,1.58050e+01,1.68397e+01,1.91476e+01,1.98776e+01
14,1.55003e+01,1.54020e+01,1.57953e+01,1.68299e+01,1.91375e+01,1.98674e+01
15,1.54968e+01,1.53985e+01,1.57918e+01,1.68263e+01,1.91338e+01,1.98637e+01
16,1.54946e+01,1.53964e+01,1.57896e+01,1.68241e+01,1.91316e+01,1.98614e+01
17,1.54878e+01,1.53896e+01,1.57828e+01,1.68172e+01,1.91244e+01,1.98542e+01
18,1.54747e+01,1.53764e+01,1.57696e+01,1.68038e+01,1.91106e+01,1.98402e+01
19,1.54592e+01,1.53610e+01,1.57541e+01,1.67881e+01,1.90944e+01,1.98239e+01
20,1.54478e+01,1.53496e+01,1.57426e+01,1.67764e+01,1.90823e+01,1.98117e+01
21,1.54428e+01,1.53447e+01,1.57376e+01,1.67714e+01,1.90771e+01,1.98065e+01
22,1.54410e+01,1.53428e+01,1.57358e+01,1.67695e+01,1.90752e+01,1.98045e+01
23,1.54360e+01,1.53378e+01,1.57307e+01,1.67644e+01,1.90699e+01,1.97992e+01
24,1.54244e+01,1.53263e+01,1.57191e+01,1.67526e+01,1.90578e+01,1.97869e+01
25,1.54090e+01,1.53109e+01,1.57036e+01,1.67369e+01,1.90416e+01,1.97706e+01
26,1.53959e+01,1.52978e+01,1.56905e+01,1.67236e+01,1.90278e+01,1.97567e+01
27,1.53892e+01,1.52911e+01,1.56838e+01,1.67168e+01,1.90208e+01,1.97496e+01
28,1.53871e+01,1.52890e+01,1.56817e+01,1.67146e+01,1.90186e+01,1.97474e+01
