# Radius per segment (in mm): 40.0, 60.0, 50.0, 60.0, 50.0
Timestep,Temp_Node_1,Temp_Node_2,Temp_Node_3,Temp_Node_4,Temp_Node_5,Temp_Node_6
0,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01
1,1.79939e+01,1.78415e+01,1.82313e+01,1.88430e+01,1.94565e+01,1.99901e+01
2,1.79886e+01,1.78362e+01,1.82260e+01,1.88376e+01,1.94511e+01,1.99846e+01
3,1.79859e+01,1.78335e+01,1.82232e+01,1.88348e+01,1.94483e+01,1.99818e+01
4,1.79816e+01,1.78292e+01,1.82190e+01,1.88305e+01,1.94440e+01,1.99775e+01
5,1.79732e+01,1.78208e+01,1.82105e+01,1.88220e+01,1.94354e+01,1.99688e+01
6,1.79616e+01,1.78093e+01,1.81989e+01,1.88103e+01,1.94236e+01,1.99569e+01
7,1.79511e+01,1.77987e+01,1.81883e+01,1.87996e+01,1.94128e+01,1.99461e+01
8,1.79445e+01,1.77922e+01,1.81818e+01,1.87930e+01,1.94062e+01,1.99394e+01
9,1.79414e+01,1.77891e+01,1.81787e+01,1.87899e+01,1.94030e+01,1.99362e+01
10,1.79380e+01,1.77858e+01,1.81753e+01,1.87865e+01,1.93996e+01,1.99327e+01
11,1.79308e+01,1.77786e+01,1.81680e+01,1.87792e+01,1.93922e+01,1.99253e+01
12,1.79199e+01,1.77676e+01,1.81570e+01,1.87681e+01,1.93810e+01,1.99140e+01
13,1.79086e+01,1.77564e+01,1.81457e+01,1.87566e+01,1.93695e+01,1.99024e+01
14,1.79008e+01,1.77486e+01,1.81379e+01,1.87488e+01,1.93616e+01,1.98944e+01
15,1.78970e+01,1.77448e+01,1.81341e+01,1.87450e+01,1.93577e+01,1.98906e+01
16,1.78942e+01,1.77420e+01,1.81313e+01,1.87421e+01,1.93548e+01,1.98876e+01
17,1.78882e+01,1.77361e+01,1.81253e+01,1.87361e+01,1.93488e+01,1.98815e+01
18,1.78781e+01,1.77259e+01,1.81151e+01,1.87258e+01,1.93384e+01,1.98711e+01
19,1.78665e+01,1.77143e+01,1.81034e+01,1.87140e+01,1.93265e+01,1.98592e+01
20,1.78574e+01,1.77053e+01,1.80944e+01,1.87049e+01,1.93173e+01,1.98499e+01
21,1.78527e+01,1.77006e+01,1.80897e+01,1.87002e+01,1.93125e+01,1.98451e+01
22,1.78501e+01,1.76980e+01,1.80870e+01,1.86975e+01,1.93098e+01,1.98423e+01
23,1.78453e+01,1.76932e+01,1.80822e+01,1.86926e+01,1.93050e+01,1.98374e+01
24,1.78362e+01,1.76842e+01,1.80731e+01,1.86835e+01,1.92957e+01,1.98281e+01
25,1.78246e+01,1.76725e+01,1.80615e+01,1.86717e+01,1.92838e+01,1.98161e+01
26,1.78145e+01,1.76625e+01,1.80513e+01,1.86615e+01,1.92736e+01,1.98058e+01
27,1.78087e+01,1.76566e+01,1.80455e+01,1.86556e+01,1.92676e+01,1.97998e+01
28,1.78058e+01,1.76538e+01,1.80426e+01,1.86527e+01,1.92647e+01,1.97969e+01
29,1.78021e+01,1.76501e+01,1.80388e+01,1.86489e+01,1.92608e+01,1.97930e+01
30,1.77942e+01,1.76422e+01,1.80310e+01,1.86409e+01,1.92528e+01,1.97849e+01
31,1.77829e+01,1.76310e+01,1.80196e+01,1.86295e+01,1.92413e+01,1.97733e+01
32,1.77720e+01,1.76201e+01,1.80087e+01,1.86185e+01,1.92302e+01,1.97621e+01
33,1.77649e+01,1.76130e+01,1.80016e+01,1.86113e+01,1.92229e+01,1.97548e+01
34,1.77616e+01,1.76096e+01,1.79982e+01,1.86079e+01,1.92195e+01,1.97514e+01
35,1.77585e+01,1.76066e+01,1.79951e+01,1.86048e+01,1.92164e+01,1.97482e+01
36,1.77519e+01,1.76000e+01,1.79885e+01,1.85982e+01,1.92097e+01,1.97415e+01
37,1.77413e+01,1.75894e+01,1.79779e+01,1.85874e+01,1.91989e+01,1.97306e+01
38,1.77299e+01,1.75780e+01,1.79664e+01,1.85758e+01,1.91872e+01,1.97188e+01
39,1.77215e+01,1.75697e+01,1.79580e+01,1.85674e+01,1.91787e+01,1.97102e+01
40,1.77174e+01,1.75655e+01,1.79539e+01,1.85632e+01,1.91744e+01,1.97060e+01
41,1.77147e+01,1.75628e+01,1.79512e+01,1.85605e+01,1.91717e+01,1.97032e+01
42,1.77093e+01,1.75575e+01,1.79458e+01,1.85551e+01,1.91662e+01,1.96977e+01
43,1.76997e+01,1.75479e+01,1.79361e+01,1.85453e+01,1.91564e+01,1.96878e+01
44,1.76880e+01,1.75362e+01,1.79244e+01,1.85335e+01,1.91445e+01,1.96758e+01
45,1.76785e+01,1.75268e+01,1.79149e+01,1.85239e+01,1.91348e+01,1.96660e+01
46,1.76733e+01,1.75216e+01,1.79097e+01,1.85186e+01,1.91295e+01,1.96607e+01
47,1.76706e+01,1.75189e+01,1.79070e+01,1.85159e+01,1.91268e+01,1.96580e+01
48,1.76664e+01,1.75147e+01,1.79027e+01,1.85116e+01,1.91225e+01,1.96536e+01
49,1.76579e+01,1.75062e+01,1.78942e+01,1.85030e+01,1.91138e+01,1.96449e+01
50,1.76464e+01,1.74947e+01,1.78827e+01,1.84914e+01,1.91021e+01,1.96331e+01
51,1.76359e+01,1.74843e+01,1.78722e+01,1.84808e+01,1.90914e+01,1.96223e+01
52,1.76295e+01,1.74779e+01,1.78657e+01,1.84743e+01,1.90848e+01,1.96157e+01
53,1.76265e+01,1.74749e+01,1.78627e+01,1.84713e+01,1.90818e+01,1.96126e+01
54,1.76231e+01,1.74715e+01,1.78593e+01,1.84679e+01,1.90783e+01,1.96092e+01
55,1.76159e+01,1.74643e+01,1.78521e+01,1.84606e+01,1.90710e+01,1.96017e+01
56,1.76049e+01,1.74533e+01,1.78411e+01,1.84495e+01,1.90598e+01,1.95904e+01
57,1.75937e+01,1.74422e+01,1.78298e+01,1.84381e+01,1.90483e+01,1.95790e+01
58,1.75861e+01,1.74345e+01,1.78221e+01,1.84304e+01,1.90405e+01,1.95711e+01
59,1.75824e+01,1.74309e+01,1.78185e+01,1.84267e+01,1.90368e+01,1.95673e+01
60,1.75796e+01,1.74280e+01,1.78156e+01,1.84238e+01,1.90339e+01,1.95644e+01
61,1.75736e+01,1.74221e+01,1.78097e+01,1.84178e+01,1.90278e+01,1.95583e+01
62,1.75635e+01,1.74120e+01,1.77995e+01,1.84075e+01,1.90175e+01,1.95479e+01
63,1.75519e+01,1.74004e+01,1.77879e+01,1.83958e+01,1.90057e+01,1.95360e+01
64,1.75430e+01,1.73915e+01,1.77789e+01,1.83868e+01,1.89966e+01,1.95268e+01
65,1.75384e+01,1.73870e+01,1.77743e+01,1.83822e+01,1.89919e+01,1.95221e+01
66,1.75358e+01,1.73844e+01,1.77717e+01,1.83795e+01,1.89893e+01,1.95194e+01
67,1.75310e+01,1.73796e+01,1.77669e+01,1.83747e+01,1.89844e+01,1.95145e+01
68,1.75219e+01,1.73705e+01,1.77578e+01,1.83655e+01,1.89751e+01,1.95052e+01
69,1.75103e+01,1.73589e+01,1.77462e+01,1.83538e+01,1.89633e+01,1.94933e+01
70,1.75004e+01,1.73490e+01,1.77362e+01,1.83437e+01,1.89531e+01,1.94830e+01
