# Radius per segment (in mm): 50.0, 40.0, 20.0, 50.0, 30.0
Timestep,Temp_Node_1,Temp_Node_2,Temp_Node_3,Temp_Node_4,Temp_Node_5,Temp_Node_6
0,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01,2.00000e+01
1,1.48029e+01,1.46861e+01,1.53142e+01,1.82456e+01,1.88857e+01,1.99812e+01
2,1.47968e+01,1.46801e+01,1.53082e+01,1.82393e+01,1.88793e+01,1.99748e+01
3,1.47977e+01,1.46809e+01,1.53090e+01,1.82402e+01,1.88802e+01,1.99757e+01
4,1.47945e+01,1.46778e+01,1.53058e+01,1.82369e+01,1.88769e+01,1.99723e+01
5,1.47802e+01,1.46634e+01,1.52914e+01,1.82218e+01,1.88617e+01,1.99568e+01
6,1.47576e+01,1.46410e+01,1.52687e+01,1.81982e+01,1.88379e+01,1.99327e+01
7,1.47376e+01,1.46209e+01,1.52485e+01,1.81772e+01,1.88167e+01,1.99112e+01
8,1.47283e+01,1.46117e+01,1.52391e+01,1.81675e+01,1.88069e+01,1.99013e+01
9,1.47282e+01,1.46116e+01,1.52390e+01,1.81674e+01,1.88068e+01,1.99012e+01
10,1.47273e+01,1.46107e+01,1.52381e+01,1.81664e+01,1.88058e+01,1.99002e+01
11,1.47163e+01,1.45997e+01,1.52270e+01,1.81549e+01,1.87942e+01,1.98884e+01
12,1.46952e+01,1.45786e+01,1.52058e+01,1.81328e+01,1.87719e+01,1.98657e+01
13,1.46733e+01,1.45568e+01,1.51838e+01,1.81098e+01,1.87487e+01,1.98423e+01
14,1.46607e+01,1.45442e+01,1.51710e+01,1.80966e+01,1.87354e+01,1.98287e+01
15,1.46588e+01,1.45423e+01,1.51691e+01,1.80946e+01,1.87334e+01,1.98267e+01
16,1.46593e+01,1.45428e+01,1.51696e+01,1.80952e+01,1.87340e+01,1.98273e+01
17,1.46517e+01,1.45352e+01,1.51619e+01,1.80872e+01,1.87259e+01,1.98191e+01
18,1.46328e+01,1.45163e+01,1.51430e+01,1.80674e+01,1.87059e+01,1.97988e+01
19,1.46100e+01,1.44936e+01,1.51200e+01,1.80435e+01,1.86818e+01,1.97743e+01
20,1.45941e+01,1.44777e+01,1.51040e+01,1.80268e+01,1.86650e+01,1.97573e+01
21,1.45897e+01,1.44733e+01,1.50995e+01,1.80222e+01,1.86604e+01,1.97527e+01
22,1.45907e+01,1.44743e+01,1.51006e+01,1.80233e+01,1.86615e+01,1.97538e+01
23,1.45862e+01,1.44698e+01,1.50960e+01,1.80186e+01,1.86567e+01,1.97489e+01
24,1.45702e+01,1.44538e+01,1.50799e+01,1.80018e+01,1.86398e+01,1.97317e+01
25,1.45474e+01,1.44310e+01,1.50569e+01,1.79779e+01,1.86156e+01,1.97072e+01
26,1.45287e+01,1.44124e+01,1.50381e+01,1.79583e+01,1.85959e+01,1.96872e+01
27,1.45212e+01,1.44049e+01,1.50306e+01,1.79505e+01,1.85880e+01,1.96792e+01
28,1.45218e+01,1.44055e+01,1.50312e+01,1.79511e+01,1.85887e+01,1.96799e+01
29,1.45199e+01,1.44036e+01,1.50292e+01,1.79491e+01,1.85866e+01,1.96778e+01
30,1.45071e+01,1.43908e+01,1.50164e+01,1.79357e+01,1.85731e+01,1.96641e+01
31,1.44852e+01,1.43690e+01,1.49943e+01,1.79128e+01,1.85500e+01,1.96406e+01
32,1.44643e+01,1.43481e+01,1.49733e+01,1.78908e+01,1.85279e+01,1.96182e+01
33,1.44535e+01,1.43373e+01,1.49624e+01,1.78796e+01,1.85165e+01,1.96066e+01
34,1.44528e+01,1.43366e+01,1.49617e+01,1.78788e+01,1.85157e+01,1.96059e+01
35,1.44527e+01,1.43365e+01,1.49616e+01,1.78787e+01,1.85157e+01,1.96058e+01
36,1.44434e+01,1.43272e+01,1.49522e+01,1.78689e+01,1.85058e+01,1.95958e+01
37,1.44233e+01,1.43072e+01,1.49320e+01,1.78479e+01,1.84845e+01,1.95742e+01
38,1.44010e+01,1.42849e+01,1.49095e+01,1.78245e+01,1.84609e+01,1.95502e+01
39,1.43868e+01,1.42708e+01,1.48953e+01,1.78097e+01,1.84460e+01,1.95351e+01
40,1.43839e+01,1.42679e+01,1.48923e+01,1.78067e+01,1.84430e+01,1.95321e+01
41,1.43849e+01,1.42688e+01,1.48933e+01,1.78077e+01,1.84440e+01,1.95331e+01
42,1.43788e+01,1.42628e+01,1.48872e+01,1.78013e+01,1.84376e+01,1.95266e+01
43,1.43613e+01,1.42453e+01,1.48695e+01,1.77829e+01,1.84190e+01,1.95078e+01
44,1.43384e+01,1.42224e+01,1.48464e+01,1.77589e+01,1.83949e+01,1.94832e+01
45,1.43213e+01,1.42053e+01,1.48292e+01,1.77410e+01,1.83767e+01,1.94648e+01
46,1.43155e+01,1.41996e+01,1.48234e+01,1.77350e+01,1.83707e+01,1.94587e+01
